ID,中文名,英文名,預計圖片檔名,異圖檔名建議(放R2)
101,白骨頂,Eurasian Coot,0101.avif,0101_UR.avif
102,灰頭麥雞,White-Browed Crake,0102.avif,0102_UR.avif
103,董雞,Watercock,0103.avif,0103_UR.avif
104,白胸苦惡鳥,White-Breasted Waterhen,0104.avif,0104_UR.avif
105,白喉斑秧雞,Slaty-Legged Crake,0105.avif,0105_UR.avif
106,斑脇田雞,Band-Bellied Crake,0106.avif,0106_UR.avif
107,紅腳苦惡鳥,Brown Crake,0107.avif,0107_UR.avif
108,小田雞,Zapornia Pusilla,0108.avif,0108_UR.avif
109,白鶴,Siberian Crane,0109.avif,0109_UR.avif
110,灰鶴,Common Crane,0110.avif,0110_UR.avif
111,大石鴴,Great Thick-Knee,0111.avif,0111_UR.avif
112,黑翅長腳鷸,Black-Winged Stilt,0112.avif,0112_UR.avif
113,反嘴鷸,Pied Avocet,0113.avif,0113_UR.avif
114,蠣鷸,Eurasian Oystercatcher,0114.avif,0114_UR.avif
115,灰鴴,Black-Bellied Plover,0115.avif,0115_UR.avif
116,European golden-plover,European Golden-Plover,0116.avif,0116_UR.avif
117,American golden-plover,American Golden-Plover,0117.avif,0117_UR.avif
118,金鴴,Pacific Golden-Plover,0118.avif,0118_UR.avif
119,鳳頭麥雞,Northern Lapwing,0119.avif,0119_UR.avif
120,蒙古沙鴴,Lesser Sand-Plover,0120.avif,0120_UR.avif
121,鐵嘴沙鴴,Greater Sand-Plover,0121.avif,0121_UR.avif
122,環頸鴴,Kentish Plover,0122.avif,0122_UR.avif
123,White-faced plover,White-Faced Plover,0123.avif,0123_UR.avif
124,Snowy plover,Snowy Plover,0124.avif,0124_UR.avif
125,劍鴴,Common Ringed Plover,0125.avif,0125_UR.avif
126,長嘴鴴,Long-Billed Plover,0126.avif,0126_UR.avif
127,金眶鴴,Little Ringed Plover,0127.avif,0127_UR.avif
128,東方鴴,Oriental Plover,0128.avif,0128_UR.avif
129,彩鷸,Greater Painted-Snipe,0129.avif,0129_UR.avif
130,水雉,Pheasant-Tailed Jacana,0130.avif,0130_UR.avif
131,中杓鷸,Whimbrel,0131.avif,0131_UR.avif
132,小杓鷸,Little Curlew,0132.avif,0132_UR.avif
133,大杓鷸,Far Eastern Curlew,0133.avif,0133_UR.avif
134,白腰杓鷸,Eurasian Curlew,0134.avif,0134_UR.avif
135,斑尾塍鷸,Bar-Tailed Godwit,0135.avif,0135_UR.avif
136,黑尾塍鷸,Black-Tailed Godwit,0136.avif,0136_UR.avif
137,翻石鷸,Ruddy Turnstone,0137.avif,0137_UR.avif
138,大濱鷸,Great Knot,0138.avif,0138_UR.avif
139,紅腹濱鷸,Red Knot,0139.avif,0139_UR.avif
140,流蘇鷸,Ruff,0140.avif,0140_UR.avif
141,闊嘴鷸,Broad-Billed Sandpiper,0141.avif,0141_UR.avif
142,尖尾濱鷸,Sharp-Tailed Sandpiper,0142.avif,0142_UR.avif
143,彎嘴濱鷸,Curlew Sandpiper,0143.avif,0143_UR.avif
144,青腳濱鷸,Calidris Temminckii,0144.avif,0144_UR.avif
145,長趾濱鷸,Long-Toed Stint,0145.avif,0145_UR.avif
146,勺嘴鷸,Spoon-Billed Sandpiper,0146.avif,0146_UR.avif
147,紅頸濱鷸,Red-Necked Stint,0147.avif,0147_UR.avif
148,三趾濱鷸,Sanderling,0148.avif,0148_UR.avif
149,黑腹濱鷸,Dunlin,0149.avif,0149_UR.avif
